protein id,ORIGIN,Protein description,PH7.85R1,PH7.85R2,PH7.85R3,PH8.15R1,PH8.15R2,PH8.15R3,PH8.45R1,PH8.45R2,PH8.45R3,fold1,fold2,Subcellular localization,Biological Process,Cellular Component,Molecular Function,KEGG KO No.,KEGG Gene,KEGG pathway,IPR ID,Domain description
c210457_g1_orf1,coral,len=1206  frame:2  start:128  end:3745  hypothetical protein CAPTEDRAFT_160931 [Capitella teleta],0.577,0.682,0.793,1.244,1.251,1.41,1.294,1.038,0.884,0.525480154,0.845460199,peroxisome,GO:0045184 establishment of protein localization; GO:0006810 transport; GO:0046907 intracellular transport; GO:0070727 cellular macromolecule localization; GO:0051649 establishment of localization in cell; GO:0016192 vesicle-mediated transport; GO:0006886 intracellular protein transport; GO:0071702 organic substance transport; GO:0008104 protein localization; GO:0033036 macromolecule localization; GO:0034613 cellular protein localization; GO:0051179 localization; GO:0015031 protein transport; GO:0051234 establishment of localization; GO:0051641 cellular localization; ,,GO:0005515 protein binding; GO:0005488 binding; ,K19674,,,IPR011990; IPR017986; IPR015943; IPR024977; ,"Tetratricopeptide-like helical domain; WD40-repeat-containing domain; WD40/YVTN repeat-like-containing domain; Anaphase-promoting complex subunit 4, WD40 domain; "
c99232_g1_orf1,coral,"len=73  frame:-1  start:220  end:2  actin, partial [Telaepolella tubasferens]",0.714,0.759,0.479,1.382,1.256,1.103,1.433,1.191,0.917,0.521785619,0.739903982,extracellular,,,,,,,,
c188638_g1,coral,len=224  start:85  end:756 minus strand,0.774,0.755,0.599,1.315,1.661,1.1,0.911,0.957,1.109,0.522080471,0.896540141,mitochondria,,,,,,,,
c193785_g1_orf1,coral,"len=240  frame:-1  start:927  end:208  Tumor necrosis factor ligand superfamily member 10, partial [Mesitornis unicolor]",0.701,0.556,0.631,1.218,1.031,1.431,0.983,1.399,1.31,0.513043478,0.651408451,extracellular,GO:0002376 immune system process; GO:0006955 immune response; GO:0050896 response to stimulus; ,GO:0016020 membrane; ,GO:0005164 tumor necrosis factor receptor binding; GO:0005515 protein binding; GO:0005102 receptor binding; GO:0032813 tumor necrosis factor receptor superfamily binding; GO:0005488 binding; GO:0005126 cytokine receptor binding; ,K04721,TNFSF10; tumor necrosis factor ligand superfamily member 10,ko04068 FoxO signaling pathway; ko04060 Cytokine-cytokine receptor interaction; ko04650 Natural killer cell mediated cytotoxicity; ko05162 Measles; ko04217 Necroptosis; ko05164 Influenza A; ko04210 Apoptosis; ,IPR008983; IPR006052; ,Tumour necrosis factor-like domain; Tumour necrosis factor domain; 
c190416_g1_orf1,coral,len=320  frame:-1  start:1158  end:199  chitinase 2 [Hydractinia echinata],0.51,0.817,0.639,1.195,1.247,1.391,1.149,1.062,1.059,0.512914166,0.810703364,cytoplasm,GO:1901071 glucosamine-containing compound metabolic process; GO:0008152 metabolic process; GO:0006030 chitin metabolic process; GO:1901135 carbohydrate derivative metabolic process; GO:0006807 nitrogen compound metabolic process; GO:0006040 amino sugar metabolic process; GO:0043170 macromolecule metabolic process; GO:0005975 carbohydrate metabolic process; GO:0044238 primary metabolic process; GO:0006022 aminoglycan metabolic process; GO:1901564 organonitrogen compound metabolic process; GO:0071704 organic substance metabolic process; ,GO:0005576 extracellular region; ,GO:0008061 chitin binding; GO:0097367 carbohydrate derivative binding; GO:0005488 binding; ,,,,IPR002557; IPR017853; IPR013781; ,"Chitin binding domain; Glycoside hydrolase superfamily; Glycoside hydrolase, catalytic domain; "
c190520_g1,coral,len=374  start:1  end:1121 minus strand,0.636,0.687,0.667,1.346,1.304,1.29,1.007,1.069,1.005,0.505076142,0.876338851,plasma membrane,,,,,,,IPR023307; ,"Aerolysin-like toxin, beta complex domain; "
c187047_g1_orf1,coral,"len=164  frame:1  start:1  end:492  UDP-N-acetylhexosamine pyrophosphorylase, partial [Stegodyphus mimosarum]",0.589,,0.683,1.231,1.535,1.107,0.917,1.055,,0.492641363,0.970588235,extracellular,GO:0008152 metabolic process; ,,"GO:0016779 nucleotidyltransferase activity; GO:0070569 uridylyltransferase activity; GO:0003824 catalytic activity; GO:0016740 transferase activity; GO:0016772 transferase activity, transferring phosphorus-containing groups; ",K00972,UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83],ko01130 Biosynthesis of antibiotics; ko01100 Metabolic pathways; ko00520 Amino sugar and nucleotide sugar metabolism; ,IPR029044; ,Nucleotide-diphospho-sugar transferases; 
c168975_g1_orf1,coral,len=188  frame:-1  start:565  end:2  Fucci-S/G2/M phase probe [synthetic construct],0.559,0.605,0.668,1.011,1.312,1.397,1.051,0.65,0.963,0.492473118,0.857357357,cytoplasm,GO:0008218 bioluminescence; GO:0008152 metabolic process; GO:0006091 generation of precursor metabolites and energy; GO:0044237 cellular metabolic process; GO:0009987 cellular process; ,,,,,,IPR009017; IPR023413; ,Green fluorescent protein; Green fluorescent protein-like; 
c201819_g1_orf1,coral,len=855  frame:-1  start:3444  end:880  apextrin [Acropora millepora],0.507,0.63,0.576,1.096,1.128,1.298,1.236,1.028,1.315,0.48637138,0.643196424,endoplasmic reticulum,,,,K15361,WDR48; WD repeat-containing protein 48,ko03460 Fanconi anemia pathway; ,IPR020864; ,Membrane attack complex component/perforin (MACPF) domain; 
c194899_g1_orf1,coral,len=196  frame:-1  start:773  end:186  beta gamma crystallin isoform 8 [Montipora capitata],0.636,0.643,0.677,1.346,1.379,1.298,1.018,1.056,1.058,0.486204325,0.851213282,mitochondria,,,,,,,,
c193011_g3_orf1,coral,len=175  frame:2  start:2  end:526  PREDICTED: uncharacterized protein LOC103022103 [Astyanax mexicanus],0.806,0.407,0.611,1.36,1.068,1.331,1.04,1.169,1.457,0.485235435,0.648663393,"cytoplasm,nucleus",,,,,,,IPR033469; IPR023577; ,CYTH-like domain; CYTH domain; 
c204273_g1_orf1,coral,len=370  frame:-2  start:1146  end:37  hypothetical protein CAPTEDRAFT_159099 [Capitella teleta],0.639,0.666,0.618,1.339,1.18,1.51,0.997,0.89,1.078,0.47728965,0.8846543,mitochondria,GO:0044699 single-organism process; GO:0008152 metabolic process; GO:0055114 oxidation-reduction process; GO:0044710 single-organism metabolic process; ,,GO:0003824 catalytic activity; GO:0016491 oxidoreductase activity; ,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],ko01120 Microbial metabolism in diverse environments; ko01130 Biosynthesis of antibiotics; ko01100 Metabolic pathways; ko00562 Inositol phosphate metabolism; ko00521 Streptomycin biosynthesis; ,IPR000683; IPR004104; IPR016040; ,"Oxidoreductase, N-terminal; Oxidoreductase, C-terminal; NAD(P)-binding domain; "
c211957_g1_orf1,coral,len=216  frame:-3  start:648  end:1  hypothetical protein C009-F8 [Acropora millepora],0.595,0.624,0.547,1.302,1.202,1.298,1.166,1.012,0.938,0.464492372,0.7936457,mitochondria,,,,K17491,SMEK; protein phosphatase 4 regulatory subunit 3,ko04212 Longevity regulating pathway - worm; ko04922 Glucagon signaling pathway; ,,
c202717_g1_orf1,coral,len=429  frame:2  start:32  end:1318  predicted protein [Nematostella vectensis]&gt;gi|156221890|gb|EDO42740.1| predicted protein [Nematostella vectensis],0.569,0.525,0.579,1.153,1.376,1.33,1.151,0.969,1.196,0.433532003,0.680639324,extracellular,,,,,,,IPR002889; ,Carbohydrate-binding WSC; 
c165103_g1_orf1,coral,len=329  frame:2  start:2  end:988  PREDICTED: uncharacterized protein LOC105327500 [Crassostrea gigas],0.635,0.543,0.567,1.563,1.392,1.413,0.92,1.04,1.143,0.399496337,0.861424428,cytoplasm,,,,,,,,
c197810_g1,coral,len=283  start:135  end:982 minus strand,0.55,0.267,0.582,1.136,1.065,1.336,1.341,1.277,1.436,0.395532938,0.489639862,extracellular,,,,K01520,dut; dUTP pyrophosphatase [EC:3.6.1.23],ko00983 Drug metabolism - other enzymes; ko01100 Metabolic pathways; ko00240 Pyrimidine metabolism; ,,
c199348_g1_orf1,coral,len=160  frame:1  start:13  end:492  predicted protein [Nematostella vectensis]&gt;gi|156226950|gb|EDO47756.1| predicted protein [Nematostella vectensis],0.464,0.526,0.466,1.197,1.221,1.275,1.419,1.479,1.288,0.39425941,0.522933588,extracellular,,,,,,,,
c184573_g1_orf1,coral,len=256  frame:-1  start:952  end:185  hypothetical protein BRAFLDRAFT_98085 [Branchiostoma floridae]&gt;gi|229288225|gb|EEN58924.1| hypothetical protein BRAFLDRAFT_98085 [Branchiostoma floridae],0.515,0.591,0.571,1.439,1.444,1.422,0.956,1.075,1.029,0.389547038,0.85,extracellular,,,,,,,IPR007084; ,BRICHOS domain; 
c47496_g1_orf1,coral,len=150  frame:1  start:1  end:450  hypothetical protein LOTGIDRAFT_105163 [Lottia gigantea]&gt;gi|556105136|gb|ESO93788.1| hypothetical protein LOTGIDRAFT_105163 [Lottia gigantea],0.487,0.412,0.482,1.433,1.443,1.39,1.28,1.247,1.114,0.323722457,0.639110135,extracellular,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005515 protein binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR001881; IPR000742; ,EGF-like calcium-binding domain; EGF-like domain; 
c210161_g1_orf1,coral,len=403  frame:1  start:316  end:1524  hypothetical protein [Monosiga brevicollis MX1]&gt;gi|163776806|gb|EDQ90424.1| predicted protein [Monosiga brevicollis MX1],0.265,0.406,0.377,1.244,1.36,1.337,1.553,1.407,1.427,0.265922355,0.462046957,cytoplasm,,,GO:0005201 extracellular matrix structural constituent; GO:0005198 structural molecule activity; ,,,,IPR002181; IPR000885; IPR014716; ,"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain; Fibrillar collagen, C-terminal; Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1; "
c178823_g1,coral,len=100  start:1  end:298 minus strand,0.352,0.334,0.197,1.249,1.411,1.351,1.301,1.392,1.394,0.220144602,0.435527282,cytoplasm,,,,,,,,
c123927_g1_orf1,coral,len=376  frame:1  start:1  end:1128  alkaline phosphatase [Thiolapillus brandeum]&gt;gi|574955567|dbj|BAO44410.1| alkaline phosphatase [Thiolapillus brandeum],0.179,0.235,0.213,1.2,1.231,1.274,1.532,1.717,1.922,0.169230769,0.318700445,extracellular,GO:0008152 metabolic process; ,,"GO:0016787 hydrolase activity; GO:0042578 phosphoric ester hydrolase activity; GO:0003824 catalytic activity; GO:0016791 phosphatase activity; GO:0016788 hydrolase activity, acting on ester bonds; ",,,,IPR017849; IPR017850; ,"Alkaline phosphatase-like, alpha/beta/alpha; Alkaline-phosphatase-like, core domain; "
c163458_g1_orf1,coral,len=101  frame:-2  start:305  end:3  predicted protein [Nematostella vectensis]&gt;gi|156212214|gb|EDO33283.1| predicted protein [Nematostella vectensis],0.149,0.13,0.165,1.307,1.358,1.36,1.55,1.718,1.77,0.110310559,0.317983327,nucleus,GO:0008152 metabolic process; GO:0005975 carbohydrate metabolic process; GO:0044238 primary metabolic process; GO:0071704 organic substance metabolic process; ,,"GO:0016837 carbon-oxygen lyase activity, acting on polysaccharides; GO:0016829 lyase activity; GO:0003824 catalytic activity; GO:0016835 carbon-oxygen lyase activity; ",,,,IPR012329; ,"Polysaccharide lyase family 8, N-terminal; "
c199987_g1_orf1,coral,"len=142  frame:3  start:96  end:521  Chain A, Crystal Structure Of Chimeric Avidin&gt;gi|310689815|pdb|3MM0|B Chain B, Crystal Structure Of Chimeric Avidin&gt;gi|310689816|pdb|3MM0|C Chain C, Crystal Structure Of Chimeric Avidin&gt;gi|310689817|pdb|3MM0|D Chain D, Crystal Structure Of Chimeric Avidin&gt;gi|310689818|pdb|3MM0|E Chain E, Crystal Structure Of Chimeric Avidin&gt;gi|310689819|pdb|3MM0|F Chain F, Crystal Structure Of Chimeric Avidin&gt;gi|310689820|pdb|3MM0|G Chain G, Crystal Structure Of Chimeric Avidin&gt;gi|310689821|pdb|3MM0|H Chain H, Crystal Structure Of Chimeric Avidin&gt;gi|310689822|pdb|3MM0|I Chain I, Crystal Structure Of Chimeric Avidin&gt;gi|310689823|pdb|3MM0|K Chain K, Crystal Structure Of Chimeric Avidin&gt;gi|310689824|pdb|3MM0|M Chain M, Crystal Structure Of Chimeric Avidin&gt;gi|310689825|pdb|3MM0|N Chain N, Crystal Structure Of Chimeric Avidin&gt;gi|672885524|pdb|2MF6|A Chain A, Solution Nmr Structure Of Chimeric Avidin, Chiavd(i117y), In The Biotin Bound Form&gt;gi|672885525|pdb|2MF6|D Chain D, Solution Nmr Structure Of Chimeric Avidin, Chiavd(i117y), In The Biotin Bound Form&gt;gi|672885526|pdb|2MF6|B Chain B, Solution Nmr Structure Of Chimeric Avidin, Chiavd(i117y), In The Biotin Bound Form&gt;gi|672885527|pdb|2MF6|C Chain C, Solution Nmr Structure Of Chimeric Avidin, Chiavd(i117y), In The Biotin Bound Form",0.738,0.51,0.501,1.405,1.416,1.441,0.896,0.882,1.038,0.410370718,0.857954545,cytoplasm,,,,,,,,
c188157_g2_orf1,coral,len=729  frame:2  start:2  end:2188  hypothetical protein [Saccharomonospora sp. CNQ490],0.402,0.621,0.708,1.582,1.34,1.565,0.983,0.919,0.947,0.385781146,1.021762022,cytoplasm,,,,K18405,,,,
c35929_g1,coral,len=303  start:1  end:906 minus strand,0.524,0.565,0.516,1.804,1.385,1.47,0.726,1.027,1.055,0.344494527,1.027421652,extracellular,,,,,,,,
c204657_g1_orf1,coral,"len=296  frame:-2  start:2828  end:1941  predicted protein [Nematostella vectensis]&gt;gi|156209492|gb|EDO30766.1| predicted protein, partial [Nematostella vectensis]",0.319,0.214,0.501,1.849,1.896,1.969,0.917,0.856,0.688,0.180959048,1.041852905,plasma membrane,,,,,,,IPR003388; ,Reticulon; 
c195374_g1_orf1,coral,len=359  frame:-2  start:3337  end:2261  predicted protein [Nematostella vectensis]&gt;gi|156226627|gb|EDO47435.1| predicted protein [Nematostella vectensis],0.257,0.276,0.225,1.581,1.649,2.051,1.035,1.081,1.171,0.143533422,0.63340432,cytoplasm,,,,,,,IPR001107; ,Band 7 domain; 
c201238_g1,coral,len=110  start:1  end:328 minus strand,0.412,0.138,0.132,1.703,1.678,1.959,0.885,0.749,0.742,0.127715356,0.830387205,cytoplasm,,,,,,,,
c207770_g1_orf1,coral,len=562  frame:-2  start:2167  end:482  predicted protein [Nematostella vectensis]&gt;gi|156224832|gb|EDO45655.1| predicted protein [Nematostella vectensis],0.255,0.282,0.365,1.215,0.991,1.185,1.753,1.837,1.58,0.265998231,0.360154739,"endoplasmic reticulum,mitochondria",GO:0008152 metabolic process; ,,"GO:0016787 hydrolase activity; GO:0042578 phosphoric ester hydrolase activity; GO:0003824 catalytic activity; GO:0016791 phosphatase activity; GO:0016788 hydrolase activity, acting on ester bonds; ",,,,IPR017849; IPR017850; ,"Alkaline phosphatase-like, alpha/beta/alpha; Alkaline-phosphatase-like, core domain; "
c198085_g1_orf1,coral,len=229  frame:1  start:1  end:687  predicted protein [Nematostella vectensis]&gt;gi|156225048|gb|EDO45869.1| predicted protein [Nematostella vectensis],1.421,1.056,1.38,0.759,1.112,0.703,0.803,1.016,0.708,1.498445998,1.264345073,mitochondria,,,,,,,IPR002715; ,Nascent polypeptide-associated complex NAC domain; 
c194490_g1_orf1,coral,len=399  frame:-2  start:1616  end:420  predicted protein [Nematostella vectensis]&gt;gi|156215301|gb|EDO36264.1| predicted protein [Nematostella vectensis],1.343,1.381,1.557,0.66,0.489,0.555,0.569,0.495,0.688,2.512323944,2.053652968,extracellular,GO:0044699 single-organism process; GO:0008152 metabolic process; GO:0044238 primary metabolic process; GO:0044710 single-organism metabolic process; GO:0006629 lipid metabolic process; GO:0071704 organic substance metabolic process; ,,"GO:0008081 phosphoric diester hydrolase activity; GO:0016787 hydrolase activity; GO:0003824 catalytic activity; GO:0042578 phosphoric ester hydrolase activity; GO:0016788 hydrolase activity, acting on ester bonds; ",,,,IPR017946; ,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain; "
c51619_g1_orf1,coral,len=255  frame:2  start:167  end:931  hypothetical protein BRAFLDRAFT_122463 [Branchiostoma floridae]&gt;gi|229284282|gb|EEN55019.1| hypothetical protein BRAFLDRAFT_122463 [Branchiostoma floridae],1.583,1.323,1.286,0.671,0.682,0.44,0.635,0.644,0.559,2.337981037,1.784548422,extracellular,,,,,,,IPR007084; ,BRICHOS domain; 
c154423_g1_orf1,coral,len=105  frame:1  start:1  end:315  hypothetical protein BRAFLDRAFT_119712 [Branchiostoma floridae]&gt;gi|229292904|gb|EEN63566.1| hypothetical protein BRAFLDRAFT_119712 [Branchiostoma floridae],1.707,1.646,1.316,0.871,0.566,0.566,0.632,,0.432,2.331003495,2.401629073,cytoplasm,,,,,,,IPR027443; IPR026992; ,Isopenicillin N synthase-like; Non-haem dioxygenase N-terminal domain; 
c198149_g1_orf1,coral,len=307  frame:3  start:231  end:1151  predicted protein [Nematostella vectensis]&gt;gi|156222748|gb|EDO43589.1| predicted protein [Nematostella vectensis],1.412,1.368,1.569,0.637,0.681,0.602,0.857,0.894,0.785,2.265104167,1.409305994,extracellular,,,,,,,,
c195734_g1_orf1,coral,"len=515  frame:-3  start:1651  end:107  predicted protein [Nematostella vectensis]&gt;gi|156220142|gb|EDO41014.1| predicted protein, partial [Nematostella vectensis]",1.6,1.463,1.148,0.649,0.533,0.683,0.867,,0.888,2.257908847,1.238366572,mitochondria,GO:0044699 single-organism process; GO:0044237 cellular metabolic process; GO:0000096 sulfur amino acid metabolic process; GO:0071704 organic substance metabolic process; GO:0008152 metabolic process; GO:0006520 cellular amino acid metabolic process; GO:0006575 cellular modified amino acid metabolic process; GO:0044248 cellular catabolic process; GO:0030328 prenylcysteine catabolic process; GO:0009987 cellular process; GO:0006790 sulfur compound metabolic process; GO:0055114 oxidation-reduction process; GO:0044712 single-organism catabolic process; GO:0044281 small molecule metabolic process; GO:0044763 single-organism cellular process; GO:0006807 nitrogen compound metabolic process; GO:0044282 small molecule catabolic process; GO:0044238 primary metabolic process; GO:0030329 prenylcysteine metabolic process; GO:0046395 carboxylic acid catabolic process; GO:1901575 organic substance catabolic process; GO:1901565 organonitrogen compound catabolic process; GO:0042219 cellular modified amino acid catabolic process; GO:0000098 sulfur amino acid catabolic process; GO:0044710 single-organism metabolic process; GO:0019752 carboxylic acid metabolic process; GO:0016054 organic acid catabolic process; GO:0009063 cellular amino acid catabolic process; GO:0044273 sulfur compound catabolic process; GO:0006082 organic acid metabolic process; GO:0009056 catabolic process; GO:0043436 oxoacid metabolic process; GO:1901564 organonitrogen compound metabolic process; ,,"GO:0001735 prenylcysteine oxidase activity; GO:0016667 oxidoreductase activity, acting on a sulfur group of donors; GO:0003824 catalytic activity; GO:0016670 oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor; GO:0016491 oxidoreductase activity; ",,,,IPR010795; IPR023753; ,Prenylcysteine lyase; FAD/NAD(P)-binding domain; 
c179844_g1_orf1,coral,"len=181  frame:2  start:155  end:697  predicted protein [Nematostella vectensis]&gt;gi|156219844|gb|EDO40720.1| predicted protein, partial [Nematostella vectensis]",1.559,1.516,1.59,0.685,0.769,0.724,0.63,0.665,0.692,2.141873278,1.907901359,extracellular,GO:0046717 acid secretion; GO:0044699 single-organism process; GO:0050482 arachidonic acid secretion; GO:0044255 cellular lipid metabolic process; GO:0044237 cellular metabolic process; GO:0006796 phosphate-containing compound metabolic process; GO:0071704 organic substance metabolic process; GO:0051234 establishment of localization; GO:0032309 icosanoid secretion; GO:0008152 metabolic process; GO:0015908 fatty acid transport; GO:1902578 single-organism localization; GO:0015718 monocarboxylic acid transport; GO:0033036 macromolecule localization; GO:0009987 cellular process; GO:0006629 lipid metabolic process; GO:0044765 single-organism transport; GO:0046903 secretion; GO:0016042 lipid catabolic process; GO:0006869 lipid transport; GO:0044712 single-organism catabolic process; GO:0044763 single-organism cellular process; GO:0071702 organic substance transport; GO:0010876 lipid localization; GO:0046942 carboxylic acid transport; GO:0044238 primary metabolic process; GO:0015849 organic acid transport; GO:0006820 anion transport; GO:0006810 transport; GO:0015909 long-chain fatty acid transport; GO:1903963 arachidonate transport; GO:1901575 organic substance catabolic process; GO:1901571 fatty acid derivative transport; GO:0015711 organic anion transport; GO:0071715 icosanoid transport; GO:0006793 phosphorus metabolic process; GO:0006811 ion transport; GO:0044710 single-organism metabolic process; GO:0019637 organophosphate metabolic process; GO:0006644 phospholipid metabolic process; GO:0051179 localization; GO:0009056 catabolic process; ,,"GO:0052689 carboxylic ester hydrolase activity; GO:0003824 catalytic activity; GO:0005488 binding; GO:0004623 phospholipase A2 activity; GO:0016788 hydrolase activity, acting on ester bonds; GO:0043167 ion binding; GO:0004620 phospholipase activity; GO:0046872 metal ion binding; GO:0043169 cation binding; GO:0016787 hydrolase activity; GO:0005509 calcium ion binding; GO:0016298 lipase activity; ",,,,IPR016090; ,Phospholipase A2 domain; 
c192520_g1_orf1,coral,len=322  frame:-2  start:1144  end:179  predicted protein [Nematostella vectensis]&gt;gi|156221102|gb|EDO41961.1| predicted protein [Nematostella vectensis],1.353,1.429,1.314,0.687,0.688,0.591,0.842,0.865,1.006,2.083418108,1.264283081,mitochondria,,,,,,,IPR002181; IPR014716; ,"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain; Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1; "
c201191_g1_orf1,coral,"len=202  frame:3  start:3  end:608  PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like, partial [Hydra vulgaris]",1.529,1.435,1.35,0.727,0.692,0.706,0.874,0.884,0.717,2.030117647,1.418989899,extracellular,,,,,,,IPR000436; IPR003410; ,Sushi/SCR/CCP domain; HYR domain; 
c206298_g1_orf1,coral,len=619  frame:-2  start:2225  end:369  hypothetical protein BRAFLDRAFT_102685 [Branchiostoma floridae]&gt;gi|229284685|gb|EEN55419.1| hypothetical protein BRAFLDRAFT_102685 [Branchiostoma floridae],1.482,1.487,1.403,0.778,0.838,0.775,0.679,0.68,0.754,1.82852363,1.735920492,mitochondria,,,,,,,,
c209521_g1,coral,len=476  start:816  end:2243 minus strand,1.388,1.657,1.39,0.842,0.803,0.792,0.67,0.695,0.611,1.819860484,1.968117409,cytoplasm,,,,K18743,,,,
c196307_g1_orf1,coral,len=249  frame:3  start:3  end:749  PREDICTED: uncharacterized protein LOC103911597 [Danio rerio],1.47,1.438,1.473,0.807,0.786,0.844,0.581,0.795,0.677,1.797702093,1.811008281,extracellular,,,GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:0003824 catalytic activity; GO:0005488 binding; GO:0003676 nucleic acid binding; GO:0043167 ion binding; GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0016787 hydrolase activity; ,,,,IPR020821; IPR001604; ,"Extracellular Endonuclease, subunit A; DNA/RNA non-specific endonuclease; "
c198700_g1_orf1,coral,len=548  frame:-2  start:2722  end:1079  predicted protein [Nematostella vectensis]&gt;gi|156221069|gb|EDO41929.1| predicted protein [Nematostella vectensis],1.288,1.442,1.314,0.809,0.7,0.792,0.847,0.749,1.004,1.757496741,1.371153846,extracellular,,,,,,,IPR025712; ,"Nucleoporin Nup54, alpha-helical domain; "
c188971_g1_orf1,coral,len=115  frame:2  start:89  end:433  Zgc:56530 [Danio rerio],1.202,1.423,1.447,0.791,0.822,0.707,0.973,0.71,0.63,1.755172414,1.58279291,cytoplasm,,GO:0005623 cell; GO:0005622 intracellular; GO:0044464 cell part; ,GO:0030234 enzyme regulator activity; GO:0030414 peptidase inhibitor activity; GO:0061134 peptidase regulator activity; GO:0061135 endopeptidase regulator activity; GO:0004857 enzyme inhibitor activity; GO:0098772 molecular function regulator; GO:0004866 endopeptidase inhibitor activity; GO:0004869 cysteine-type endopeptidase inhibitor activity; ,K13907,,,IPR000010; ,Cystatin domain; 
c208964_g1_orf1,coral,len=997  frame:1  start:133  end:3123  hypothetical protein BRAFLDRAFT_81321 [Branchiostoma floridae]&gt;gi|229286575|gb|EEN57293.1| hypothetical protein BRAFLDRAFT_81321 [Branchiostoma floridae],1.298,1.359,1.403,0.807,0.724,0.786,0.929,0.769,0.854,1.752265861,1.398510972,cytoplasm,GO:0016310 phosphorylation; GO:0044267 cellular protein metabolic process; GO:0044238 primary metabolic process; GO:0044237 cellular metabolic process; GO:0006796 phosphate-containing compound metabolic process; GO:0071704 organic substance metabolic process; GO:0008152 metabolic process; GO:0006468 protein phosphorylation; GO:0006793 phosphorus metabolic process; GO:0044260 cellular macromolecule metabolic process; GO:0006464 cellular protein modification process; GO:0019538 protein metabolic process; GO:0043170 macromolecule metabolic process; GO:0036211 protein modification process; GO:0043412 macromolecule modification; GO:0009987 cellular process; ,,"GO:0005524 ATP binding; GO:1901265 nucleoside phosphate binding; GO:0016773 phosphotransferase activity, alcohol group as acceptor; GO:0001882 nucleoside binding; GO:0043167 ion binding; GO:0004672 protein kinase activity; GO:0000166 nucleotide binding; GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:0032549 ribonucleoside binding; GO:0097367 carbohydrate derivative binding; GO:0016301 kinase activity; GO:0003824 catalytic activity; GO:0032553 ribonucleotide binding; GO:0005488 binding; GO:0032550 purine ribonucleoside binding; GO:0043168 anion binding; GO:0032555 purine ribonucleotide binding; GO:0032559 adenyl ribonucleotide binding; GO:0030554 adenyl nucleotide binding; GO:0001883 purine nucleoside binding; GO:0016740 transferase activity; GO:0016772 transferase activity, transferring phosphorus-containing groups; GO:0017076 purine nucleotide binding; GO:0036094 small molecule binding; GO:0035639 purine ribonucleoside triphosphate binding; ",,,,IPR000719; IPR027417; IPR011009; ,Protein kinase domain; P-loop containing nucleoside triphosphate hydrolase; Protein kinase-like domain; 
c210745_g1_orf1,coral,len=525  frame:-3  start:4000  end:2426  PREDICTED: N-acetylgalactosamine-6-sulfatase isoform X2 [Gallus gallus],1.194,1.439,1.554,0.828,0.794,0.809,0.762,0.95,0.538,1.722336487,1.698222222,mitochondria,GO:0008152 metabolic process; ,,"GO:0016787 hydrolase activity; GO:0008484 sulfuric ester hydrolase activity; GO:0003824 catalytic activity; GO:0016788 hydrolase activity, acting on ester bonds; ",K01131,STS; steryl-sulfatase [EC:3.1.6.2],ko00140 Steroid hormone biosynthesis; ,IPR017849; IPR000917; IPR017850; ,"Alkaline phosphatase-like, alpha/beta/alpha; Sulfatase, N-terminal; Alkaline-phosphatase-like, core domain; "
c212832_g1_orf1,coral,len=307  frame:-1  start:4318  end:3398  PREDICTED: splicing factor U2AF 65 kDa subunit [Callorhinchus milii],1.32,1.168,1.523,0.772,0.866,0.777,0.847,0.557,1.079,1.660869565,1.39468385,nucleus,,,GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:1901265 nucleoside phosphate binding; GO:0005488 binding; GO:0003676 nucleic acid binding; GO:0000166 nucleotide binding; GO:0036094 small molecule binding; ,K12837,U2AF2; splicing factor U2AF 65 kDa subunit,ko03040 Spliceosome; ,IPR000504; IPR012677; ,RNA recognition motif domain; Nucleotide-binding alpha-beta plait domain; 
